,sheadline,numrech,dfyh
0,[CLS]hundreds of palestinians flee floods in gaza as israel opens dams[SEP],0,0
1,[CLS]spider burrowed through tourist stomach and up into his chest[SEP],1,1
2,[CLS]soon marijuana may lead to ticket not arrest in new york[SEP],2,2
3,[CLS]police find mass graves with at least 15 bodies near mexico town where 43 students disappeared after police clash[SEP],3,3
4,[CLS] nasa confirms earth will experience 6 days of total darkness in december fake news story goes viral[SEP],4,0
5,[CLS]pope francis turns out not to have made pets in heaven comment[SEP],5,1
6,[CLS]boko haram denies nigeria cease fire claim[SEP],6,2
7,[CLS]christian bale passes on role of steve jobs actor reportedly felt he was not right for part[SEP],7,3
8,[CLS]banksy arrested real identity revealed is the same hoax from last year[SEP],8,0
9,[CLS]no it is not tiger woods selling an island in lake mlaren[SEP],9,1
10,[CLS]nicaragua asks you s[SEP],10,1
11,[CLS]christian bale is steve jobs[SEP],11,1
12,[CLS]nigeria says ceasefire agreed with boko haram[SEP],12,2
13,[CLS]isis getting ebola[SEP],13,1
14,[CLS]electric shock turns russian boy into marvel magneto[SEP],14,3
15,[CLS]macaulay culkin has not died despite what everyone is saying on facebook[SEP],15,0
16,[CLS]news all dogs go to heaven [SEP],16,1
17,[CLS]white house fence jumper overpowered secret service officer ran through much of main floor[SEP],17,0
18,[CLS]jeh johnson politicians should not feed the flames of fear over isis ebola[SEP],18,1
19,[CLS]paul rudd is not the viral video hero who tackled a gay basher in dallas[SEP],19,1
20,[CLS]breaking news isis beheads missing american journalist james wright foley as warning to us to cease action in iraq[SEP],20,2
21,[CLS]star wars the force awakens to be released this summer [SEP],21,3
22,[CLS]north korean dictator kim jong un to open restaurant in scotland[SEP],22,1
23,[CLS]fears journalist james wright foley beheaded by islamic state jihadists in message to united states[SEP],23,2
24,[CLS]the apple watch has a low power mode that only tells the time[SEP],24,3
25,[CLS]obama administration denies congressman claim that at least ten isis fighters have been caught coming across the mexican border in texas [SEP],25,0
26,[CLS]christian bale will not play steve jobs[SEP],26,1
27,[CLS]mexico finds 4 more graves at site of suspected student massacre[SEP],27,2
28,[CLS]dna tests prove lebanon is holding isis chief al baghdadi ex wife and daughter after they were caught with fake passports[SEP],28,3
29,[CLS]hope fades for girls release after boko haram truce breached[SEP],29,0
30,[CLS]watch moment tv weatherman is caught urinating in the bushes live on camera[SEP],30,1
31,[CLS]the famous dog whisperer cesar millan died of a heart attack this morning[SEP],31,1
32,[CLS]nicaragua meteorite impact theory may be meteor wrong[SEP],32,1
33,[CLS]batmobile not stolen mtv contest prize remains unclaimed[SEP],33,2
34,[CLS]magic mushrooms found in queen elizabeth garden at buckingham palace[SEP],34,3
35,[CLS]send in the drones predator drones flown over is headquarters in syria[SEP],35,0
36,[CLS]nun who gave birth to baby boy after suffering agonising stomach pains had no idea she was pregnant[SEP],36,0
37,[CLS]kim dine with me porky president kim jong un to open uk restaurant serving dog[SEP],37,1
38,[CLS]us drones hunting for isis leader seen flying over syrian airspace[SEP],38,2
39,[CLS]has the batman vs superman batmobile been stolen in detroit [SEP],39,3
40,[CLS]us marine survives headshot from taliban video [SEP],40,0
41,[CLS]the arrest of the isis leader wife and son[SEP],41,1
42,[CLS]us confirms death of somalia terror group leader[SEP],42,1
43,[CLS]us drones hunting for isis leader seen flying over syrian airspace[SEP],43,3
44,[CLS]apple media event rumored for late february apple watch and 12 macbook air likely topics updated [SEP],44,3
45,[CLS]accountant claims comcast got him fired from his job for reporting a customer service issue[SEP],45,2
46,[CLS]wild misinformation brian williams explains the mike seidel liveshot[SEP],46,3
47,[CLS] categorically false dhs debunks right wing fiction that isis attempted to cross the you mexico border[SEP],47,0
48,[CLS] isis beheads photojournalist james wright foley in a massage to us to end its intervention in iraq[SEP],48,0
49,[CLS]apple may launch 12 inch macbook air with retina display[SEP],49,2
50,[CLS]video shows isil beheading of photojournalist james foley[SEP],50,0
51,[CLS]teacher sex tape exposed as a fake after internet detectives trace the origin of pornographic clip[SEP],51,1
52,[CLS]nun gives birth intends to keep baby[SEP],52,3
53,[CLS]american hostage in yemen freed in military raid defence ministry[SEP],53,1
54,[CLS]isis pays tribute to its cub of baghdadi child soldier[SEP],54,3
55,[CLS]first bendgate now it is hairgate angry iphone 6 owners claim design is causing chunks of their hair to be ripped out when they make a phone call[SEP],55,2
56,[CLS]dead for 48 minutes catholic priest claims god is female[SEP],56,1
57,[CLS]did paul rudd help tackle that dallas airport gay basher [SEP],57,2
58,[CLS]texas town quarantined after family of five test positive for the ebola virus[SEP],58,1
59,[CLS]wsj apple cut watch health features due to erratic sensors[SEP],59,2
60,[CLS]catholic priest dead for 48 minutes is miraculously revived his revelations about god are even more shocking[SEP],60,3
61,[CLS]meteor leaves 40 foot crater near managua airport[SEP],61,0
62,[CLS]michelle obamas face blurred by saudi state television[SEP],62,1
63,[CLS]apple watch launch has new timetable analyst[SEP],63,2
64,[CLS]tourist wakes to find strange red trail on his stomach and discovers a spider has burrowed through his appendix scar and crawled under his skin while on holiday in bali[SEP],64,3
65,[CLS]al shabaab terror group leader killed in you s[SEP],65,0
66,[CLS]pope francis turns out not to have made pets in heaven comment[SEP],66,1
67,[CLS]second person rushed to hospital with ebola symptoms after contact with patient zero thomas duncan[SEP],67,3
68,[CLS]what they earn vice ceo shane smiths 300 000 steak dinner[SEP],68,0
69,[CLS]comcast blocks tor[SEP],69,1
